Data,TempEquip1 (C/10),UmdEquip1 (UR/10),DewEquip1 (C/10),TempEquip2 (C/10),UmdEquip2 (UR/10),DewEquip2 (C/10),TempExame1 (C/10),UmdExame1 (UR/10),DewExame1 (C/10),TempExame2 (C/10),UmdExame2 (UR/10),
231124132211,198,430,95,0,0,0,185,499,78,0,0,0
231124132222,198,430,95,0,0,0,185,499,78,0,0,0
231124132234,198,432,95,0,0,0,185,499,78,0,0,0
231124132245,198,433,95,0,0,0,185,500,78,0,0,0
231124132256,198,437,98,0,0,0,185,500,78,0,0,0
231124132307,198,441,98,0,0,0,185,501,78,0,0,0
231124132318,198,428,95,0,0,0,185,501,78,0,0,0
231124132330,198,428,95,0,0,0,185,501,78,0,0,0
231124132341,198,428,95,0,0,0,185,501,78,0,0,0
231124132352,198,428,95,0,0,0,185,501,78,0,0,0
231124132522,198,429,95,0,0,0,185,504,78,0,0,0
231124132533,198,429,95,0,0,0,185,505,81,0,0,0
231124132544,198,429,95,0,0,0,185,506,81,0,0,0
231124132556,198,432,95,0,0,0,185,508,81,0,0,0
231124132607,198,431,95,0,0,0,185,508,81,0,0,0
231124132618,198,430,95,0,0,0,185,509,81,0,0,0
231124132629,198,431,95,0,0,0,185,510,81,0,0,0
231124132640,198,432,95,0,0,0,185,513,81,0,0,0
231124132652,198,433,95,0,0,0,185,514,81,0,0,0
231124132703,198,435,98,0,0,0,185,514,81,0,0,0
231124132714,198,435,98,0,0,0,185,515,84,0,0,0
231124132725,198,435,98,0,0,0,185,516,84,0,0,0
231124132736,198,435,98,0,0,0,185,516,84,0,0,0
231124132748,198,441,98,0,0,0,185,517,84,0,0,0
231124132759,198,439,98,0,0,0,185,517,84,0,0,0
231124132810,198,437,98,0,0,0,185,517,84,0,0,0
231124132821,198,436,98,0,0,0,185,517,84,0,0,0
231124132832,198,439,98,0,0,0,185,517,84,0,0,0
231124132844,198,439,98,0,0,0,185,517,84,0,0,0
231124132855,198,438,98,0,0,0,186,517,85,0,0,0
231124133013,198,441,98,0,0,0,187,516,86,0,0,0
231124133024,198,443,98,0,0,0,187,516,86,0,0,0
231124133036,198,442,98,0,0,0,188,515,87,0,0,0
231124133047,198,440,98,0,0,0,188,515,87,0,0,0
231124133058,198,441,98,0,0,0,188,515,87,0,0,0
231124133109,198,440,98,0,0,0,188,515,87,0,0,0
231124133121,198,441,98,0,0,0,188,514,84,0,0,0
231124133132,198,441,98,0,0,0,189,514,85,0,0,0
231124133143,198,441,98,0,0,0,189,512,85,0,0,0
231124133154,198,440,98,0,0,0,189,512,85,0,0,0
231124133205,198,445,102,0,0,0,189,511,85,0,0,0
231124133217,198,440,98,0,0,0,189,511,85,0,0,0
231124133228,198,440,98,0,0,0,190,510,86,0,0,0
231124133239,198,439,98,0,0,0,190,510,86,0,0,0
231124133250,198,439,98,0,0,0,190,508,86,0,0,0
231124133301,198,439,98,0,0,0,190,507,86,0,0,0
231124133313,198,439,98,0,0,0,190,506,86,0,0,0
231124133324,198,439,98,0,0,0,191,505,87,0,0,0
231124133335,198,441,98,0,0,0,191,505,87,0,0,0
231124133346,198,441,98,0,0,0,191,504,84,0,0,0
231124133516,198,443,98,0,0,0,192,498,85,0,0,0
231124133527,198,441,98,0,0,0,192,498,85,0,0,0
231124133538,198,440,98,0,0,0,192,496,85,0,0,0
231124133549,198,439,98,0,0,0,192,495,85,0,0,0
231124133601,198,439,98,0,0,0,193,494,83,0,0,0
231124133612,198,440,98,0,0,0,193,492,83,0,0,0
231124133623,198,439,98,0,0,0,193,492,83,0,0,0
231124133634,198,439,98,0,0,0,193,491,83,0,0,0
231124133645,198,438,98,0,0,0,193,491,83,0,0,0
231124133657,198,438,98,0,0,0,193,490,83,0,0,0
231124133708,198,437,98,0,0,0,193,489,83,0,0,0
231124133719,198,442,98,0,0,0,193,488,83,0,0,0
231124133730,198,444,98,0,0,0,193,487,83,0,0,0
231124133742,198,441,98,0,0,0,193,486,83,0,0,0
231124133753,198,440,98,0,0,0,193,486,83,0,0,0
231124133804,198,440,98,0,0,0,193,485,83,0,0,0
231124133815,198,437,98,0,0,0,193,485,83,0,0,0
231124133826,198,435,98,0,0,0,193,485,83,0,0,0
231124133838,198,437,98,0,0,0,193,485,83,0,0,0
231124133849,198,435,98,0,0,0,193,486,83,0,0,0
231124134018,198,437,98,0,0,0,193,489,83,0,0,0
231124134030,198,434,95,0,0,0,193,489,83,0,0,0
231124134041,198,436,98,0,0,0,193,490,83,0,0,0
231124134052,198,435,98,0,0,0,193,490,83,0,0,0
231124134103,198,437,98,0,0,0,193,491,83,0,0,0
231124134114,198,439,98,0,0,0,193,491,83,0,0,0
231124134126,198,436,98,0,0,0,193,491,83,0,0,0
231124134137,198,432,95,0,0,0,193,492,83,0,0,0
231124134148,198,432,95,0,0,0,193,492,83,0,0,0
231124134159,198,432,95,0,0,0,192,493,82,0,0,0
231124134210,198,432,95,0,0,0,192,494,82,0,0,0
231124134222,198,431,95,0,0,0,192,494,82,0,0,0
231124134233,198,433,95,0,0,0,192,494,82,0,0,0
231124134244,198,433,95,0,0,0,192,494,82,0,0,0
231124134255,198,432,95,0,0,0,192,494,82,0,0,0
231124134306,198,436,98,0,0,0,191,494,81,0,0,0
231124134318,198,440,98,0,0,0,191,494,81,0,0,0
231124134329,198,437,98,0,0,0,190,494,80,0,0,0
231124134340,198,437,98,0,0,0,190,494,80,0,0,0
231124134351,198,436,98,0,0,0,190,494,80,0,0,0
231124134521,198,436,98,0,0,0,190,506,86,0,0,0
231124134532,198,437,98,0,0,0,190,508,86,0,0,0
231124134543,198,437,98,0,0,0,190,511,86,0,0,0
231124134555,198,437,98,0,0,0,190,512,86,0,0,0
231124134606,198,436,98,0,0,0,189,514,85,0,0,0
231124134617,198,436,98,0,0,0,189,514,85,0,0,0
231124134628,198,438,98,0,0,0,189,514,85,0,0,0
231124134639,198,443,98,0,0,0,189,514,85,0,0,0
231124134651,198,443,98,0,0,0,189,514,85,0,0,0
231124134702,198,444,98,0,0,0,189,513,85,0,0,0
231124134713,198,444,98,0,0,0,189,512,85,0,0,0
231124134724,198,446,102,0,0,0,189,511,85,0,0,0
231124134735,198,447,102,0,0,0,189,510,85,0,0,0
231124134747,198,444,98,0,0,0,189,509,85,0,0,0
231124134758,198,442,98,0,0,0,189,509,85,0,0,0
231124134809,198,439,98,0,0,0,189,508,85,0,0,0
231124134820,198,439,98,0,0,0,189,505,85,0,0,0
231124134831,198,442,98,0,0,0,189,505,85,0,0,0
