Data,TempAlimAG (C/10),TempRetAG (C/10),VzAlimAG (l/min/10),PresAlimAG (bar/10),PresRetAG (bar/10),VzGradCoil (l/min/10),VzGradPwr (l/min/10),VzComp (l/min/10)
231022181239,61,73,1625,35,32767,32767,32767,32767
231022181409,61,70,1630,35,32767,32767,32767,32767
231022181420,63,72,1621,35,32767,32767,32767,32767
231022181431,65,73,1644,35,32767,32767,32767,32767
231022181442,67,75,1628,35,32767,32767,32767,32767
231022181454,69,77,1641,35,32767,32767,32767,32767
231022181505,71,79,1637,35,32767,32767,32767,32767
231022181516,73,81,1617,35,32767,32767,32767,32767
231022181527,74,83,1635,35,32767,32767,32767,32767
231022181538,75,84,1633,35,32767,32767,32767,32767
231022181550,76,86,1630,35,32767,32767,32767,32767
231022181601,77,86,1619,35,32767,32767,32767,32767
231022181612,77,87,1632,35,32767,32767,32767,32767
231022181623,78,88,1637,35,32767,32767,32767,32767
231022181635,78,88,1640,35,32767,32767,32767,32767
231022181646,78,88,1636,35,32767,32767,32767,32767
231022181657,78,88,1631,35,32767,32767,32767,32767
231022181708,78,88,1616,35,32767,32767,32767,32767
231022181719,77,88,1182,26,32767,32767,32767,32767
231022181731,76,88,1191,26,32767,32767,32767,32767
231022181742,75,88,1205,26,32767,32767,32767,32767
231022181911,69,84,1198,26,32767,32767,32767,32767
231022181922,68,83,1186,26,32767,32767,32767,32767
231022181934,66,82,1184,26,32767,32767,32767,32767
231022181945,65,80,1187,26,32767,32767,32767,32767
231022181956,64,79,1175,26,32767,32767,32767,32767
231022182007,63,78,1184,26,32767,32767,32767,32767
231022182018,62,77,1184,26,32767,32767,32767,32767
231022182030,62,76,1176,26,32767,32767,32767,32767
231022182041,62,76,1191,26,32767,32767,32767,32767
231022182052,61,75,1189,26,32767,32767,32767,32767
231022182103,61,75,1191,26,32767,32767,32767,32767
231022182114,61,75,1179,26,32767,32767,32767,32767
231022182126,61,75,1189,26,32767,32767,32767,32767
231022182137,61,75,1186,26,32767,32767,32767,32767
231022182148,61,75,1192,26,32767,32767,32767,32767
231022182159,61,75,1180,26,32767,32767,32767,32767
231022182210,61,75,1198,26,32767,32767,32767,32767
231022182222,61,75,1192,26,32767,32767,32767,32767
231022182233,61,75,1185,26,32767,32767,32767,32767
231022182244,61,75,1185,26,32767,32767,32767,32767
231022182414,61,75,1191,26,32767,32767,32767,32767
231022182425,63,75,1184,26,32767,32767,32767,32767
231022182436,65,77,1188,26,32767,32767,32767,32767
231022182447,67,78,1195,26,32767,32767,32767,32767
231022182459,70,81,1190,26,32767,32767,32767,32767
231022182510,72,83,1196,26,32767,32767,32767,32767
231022182521,74,85,1188,26,32767,32767,32767,32767
231022182532,76,87,1197,26,32767,32767,32767,32767
231022182543,78,89,1196,26,32767,32767,32767,32767
231022182555,80,91,1196,26,32767,32767,32767,32767
231022182606,81,93,1185,26,32767,32767,32767,32767
231022182617,81,94,1199,26,32767,32767,32767,32767
231022182628,82,95,1200,26,32767,32767,32767,32767
231022182640,83,96,1203,26,32767,32767,32767,32767
231022182651,83,97,1198,26,32767,32767,32767,32767
231022182702,84,97,1204,26,32767,32767,32767,32767
231022182713,84,98,1194,26,32767,32767,32767,32767
231022182724,84,98,1192,26,32767,32767,32767,32767
231022182735,84,98,1187,26,32767,32767,32767,32767
231022182747,84,98,1191,26,32767,32767,32767,32767
231022182905,79,94,1641,35,32767,32767,32767,32767
231022182916,79,94,1632,35,32767,32767,32767,32767
231022182928,81,94,1632,35,32767,32767,32767,32767
231022182939,82,94,1626,35,32767,32767,32767,32767
231022182950,82,94,1620,35,32767,32767,32767,32767
231022183001,82,94,1621,35,32767,32767,32767,32767
231022183013,82,94,1615,35,32767,32767,32767,32767
231022183024,81,93,1619,35,32767,32767,32767,32767
231022183035,80,92,1615,35,32767,32767,32767,32767
231022183046,79,91,1629,35,32767,32767,32767,32767
231022183057,79,90,1641,35,32767,32767,32767,32767
231022183109,79,90,1635,35,32767,32767,32767,32767
231022183120,80,90,1644,35,32767,32767,32767,32767
231022183131,82,91,1621,35,32767,32767,32767,32767
231022183142,84,93,1635,35,32767,32767,32767,32767
231022183153,85,95,1639,35,32767,32767,32767,32767
231022183205,86,96,1659,35,32767,32767,32767,32767
231022183216,87,97,1631,35,32767,32767,32767,32767
231022183227,87,97,1620,35,32767,32767,32767,32767
231022183238,88,98,1629,35,32767,32767,32767,32767
231022183408,78,91,1609,35,32767,32767,32767,32767
231022183419,75,88,1624,35,32767,32767,32767,32767
231022183430,74,86,1621,35,32767,32767,32767,32767
231022183441,72,84,1615,35,32767,32767,32767,32767
231022183452,70,82,1606,35,32767,32767,32767,32767
231022183503,68,80,1627,35,32767,32767,32767,32767
231022183515,66,78,1624,35,32767,32767,32767,32767
231022183526,64,76,1633,35,32767,32767,32767,32767
231022183537,62,74,1613,35,32767,32767,32767,32767
231022183548,61,73,1627,35,32767,32767,32767,32767
231022183600,59,71,1601,35,32767,32767,32767,32767
231022183611,58,69,1627,35,32767,32767,32767,32767
231022183622,58,69,1632,35,32767,32767,32767,32767
231022183633,58,69,1620,35,32767,32767,32767,32767
231022183644,60,69,1628,35,32767,32767,32767,32767
231022183656,62,71,1618,35,32767,32767,32767,32767
231022183707,64,72,1648,35,32767,32767,32767,32767
231022183718,65,74,1624,35,32767,32767,32767,32767
231022183729,67,76,1626,35,32767,32767,32767,32767
231022183740,69,78,1624,35,32767,32767,32767,32767
231022183910,79,89,1618,35,32767,32767,32767,32767
231022183921,80,90,1616,35,32767,32767,32767,32767
231022183932,80,90,1639,35,32767,32767,32767,32767
231022183944,80,91,1656,35,32767,32767,32767,32767
231022183955,80,91,1615,35,32767,32767,32767,32767
231022184006,80,91,1638,35,32767,32767,32767,32767
231022184017,80,91,1630,35,32767,32767,32767,32767
231022184028,78,91,1642,35,32767,32767,32767,32767
231022184040,77,88,1624,35,32767,32767,32767,32767
231022184051,75,87,1204,26,32767,32767,32767,32767
231022184102,73,86,1203,26,32767,32767,32767,32767
231022184113,73,86,1197,26,32767,32767,32767,32767
231022184125,72,86,1198,26,32767,32767,32767,32767
231022184136,71,85,1200,26,32767,32767,32767,32767
231022184147,71,85,1193,26,32767,32767,32767,32767
231022184158,70,84,1189,26,32767,32767,32767,32767
231022184209,69,83,1191,26,32767,32767,32767,32767
231022184221,67,82,1192,26,32767,32767,32767,32767
231022184232,66,81,1204,26,32767,32767,32767,32767
231022184243,64,79,1186,26,32767,32767,32767,32767
231022184413,59,73,1202,26,32767,32767,32767,32767
231022184424,59,73,1196,26,32767,32767,32767,32767
231022184435,59,73,1202,26,32767,32767,32767,32767
231022184446,59,73,1197,26,32767,32767,32767,32767
231022184457,59,73,1198,26,32767,32767,32767,32767
231022184509,59,73,1206,26,32767,32767,32767,32767
231022184520,59,73,1214,26,32767,32767,32767,32767
