Data,TempEquip1 (C/10),UmdEquip1 (UR/10),DewEquip1 (C/10),TempEquip2 (C/10),UmdEquip2 (UR/10),DewEquip2 (C/10),TempExame1 (C/10),UmdExame1 (UR/10),DewExame1 (C/10),TempExame2 (C/10),UmdExame2 (UR/10),
231023202253,202,521,100,0,0,0,209,497,100,0,0,0
231023202422,203,516,101,0,0,0,208,501,99,0,0,0
231023202434,203,513,98,0,0,0,208,503,99,0,0,0
231023202446,203,512,98,0,0,0,208,501,99,0,0,0
231023202456,203,510,98,0,0,0,208,501,99,0,0,0
231023202507,203,509,98,0,0,0,208,501,99,0,0,0
231023202519,203,508,98,0,0,0,208,499,99,0,0,0
231023202530,203,507,98,0,0,0,207,499,98,0,0,0
231023202541,203,506,98,0,0,0,207,496,98,0,0,0
231023202552,203,505,98,0,0,0,207,493,95,0,0,0
231023202603,203,504,95,0,0,0,207,497,98,0,0,0
231023202615,203,502,95,0,0,0,207,499,98,0,0,0
231023202626,203,501,95,0,0,0,207,500,98,0,0,0
231023202637,203,501,95,0,0,0,207,498,98,0,0,0
231023202648,203,500,95,0,0,0,207,498,98,0,0,0
231023202659,203,499,95,0,0,0,206,498,98,0,0,0
231023202711,203,499,95,0,0,0,206,501,98,0,0,0
231023202722,203,499,95,0,0,0,206,499,98,0,0,0
231023202733,203,499,95,0,0,0,206,497,98,0,0,0
231023202744,203,499,95,0,0,0,206,497,98,0,0,0
231023202755,203,499,95,0,0,0,206,501,98,0,0,0
231023202914,203,509,98,0,0,0,205,499,97,0,0,0
231023202925,203,512,98,0,0,0,205,496,97,0,0,0
231023202936,203,514,98,0,0,0,205,494,94,0,0,0
231023202947,203,515,101,0,0,0,205,497,97,0,0,0
231023202958,203,516,101,0,0,0,205,497,97,0,0,0
231023203010,203,519,101,0,0,0,205,497,97,0,0,0
231023203021,203,520,101,0,0,0,205,499,97,0,0,0
231023203032,203,520,101,0,0,0,205,503,97,0,0,0
231023203043,203,521,101,0,0,0,205,503,97,0,0,0
231023203054,203,521,101,0,0,0,205,504,97,0,0,0
231023203106,203,522,101,0,0,0,205,505,100,0,0,0
231023203117,203,523,101,0,0,0,204,505,99,0,0,0
231023203128,203,523,101,0,0,0,204,504,96,0,0,0
231023203139,203,523,101,0,0,0,204,502,96,0,0,0
231023203150,203,523,101,0,0,0,204,502,96,0,0,0
231023203202,203,522,101,0,0,0,204,502,96,0,0,0
231023203213,203,521,101,0,0,0,204,503,96,0,0,0
231023203224,203,521,101,0,0,0,204,503,96,0,0,0
231023203235,203,518,101,0,0,0,204,508,99,0,0,0
231023203247,203,517,101,0,0,0,204,508,99,0,0,0
231023203416,203,505,98,0,0,0,203,510,98,0,0,0
231023203427,203,505,98,0,0,0,203,511,98,0,0,0
231023203439,203,503,95,0,0,0,203,512,98,0,0,0
231023203450,203,502,95,0,0,0,203,512,98,0,0,0
231023203501,203,501,95,0,0,0,203,512,98,0,0,0
231023203512,203,500,95,0,0,0,203,510,98,0,0,0
231023203524,203,500,95,0,0,0,203,511,98,0,0,0
231023203535,203,500,95,0,0,0,203,511,98,0,0,0
231023203546,203,500,95,0,0,0,203,507,98,0,0,0
231023203557,203,500,95,0,0,0,203,504,95,0,0,0
231023203608,203,500,95,0,0,0,202,505,97,0,0,0
231023203619,203,502,95,0,0,0,202,502,94,0,0,0
231023203631,203,503,95,0,0,0,202,504,94,0,0,0
231023203642,203,505,98,0,0,0,202,502,94,0,0,0
231023203653,203,506,98,0,0,0,202,503,94,0,0,0
231023203704,203,507,98,0,0,0,202,506,97,0,0,0
231023203715,203,509,98,0,0,0,202,507,97,0,0,0
231023203727,203,510,98,0,0,0,202,510,97,0,0,0
231023203738,203,512,98,0,0,0,202,512,97,0,0,0
231023203749,203,514,98,0,0,0,202,512,97,0,0,0
231023203919,203,519,101,0,0,0,202,519,100,0,0,0
231023203930,203,520,101,0,0,0,202,519,100,0,0,0
231023203941,203,520,101,0,0,0,202,519,100,0,0,0
231023203953,203,519,101,0,0,0,202,518,100,0,0,0
231023204004,203,518,101,0,0,0,202,518,100,0,0,0
231023204015,203,517,101,0,0,0,202,520,100,0,0,0
231023204026,203,516,101,0,0,0,202,522,100,0,0,0
231023204037,203,516,101,0,0,0,202,520,100,0,0,0
231023204049,203,515,101,0,0,0,201,520,99,0,0,0
231023204100,203,513,98,0,0,0,201,521,99,0,0,0
231023204111,203,511,98,0,0,0,201,520,99,0,0,0
231023204122,203,509,98,0,0,0,201,520,99,0,0,0
231023204133,203,509,98,0,0,0,201,520,99,0,0,0
