Data,TempAlimAG (C/10),TempRetAG (C/10),VzAlimAG (l/min/10),PresAlimAG (bar/10),PresRetAG (bar/10),VzGradCoil (l/min/10),VzGradPwr (l/min/10),VzComp (l/min/10)
231124172247,59,97,658,37,32767,32767,32767,32767
231124172258,59,97,656,37,32767,32767,32767,32767
231124172309,59,97,655,37,32767,32767,32767,32767
231124172320,59,97,654,37,32767,32767,32767,32767
231124172331,59,97,662,37,32767,32767,32767,32767
231124172343,59,96,657,37,32767,32767,32767,32767
231124172354,59,95,655,37,32767,32767,32767,32767
231124172405,59,94,658,37,32767,32767,32767,32767
231124172416,59,93,659,37,32767,32767,32767,32767
231124172427,58,93,652,37,32767,32767,32767,32767
231124172439,58,93,658,37,32767,32767,32767,32767
231124172608,58,93,653,37,32767,32767,32767,32767
231124172619,58,93,657,37,32767,32767,32767,32767
231124172631,58,92,661,37,32767,32767,32767,32767
231124172642,58,92,659,37,32767,32767,32767,32767
231124172653,57,92,659,37,32767,32767,32767,32767
231124172704,57,92,654,37,32767,32767,32767,32767
231124172715,57,92,659,37,32767,32767,32767,32767
231124172727,57,92,661,37,32767,32767,32767,32767
231124172738,57,92,656,37,32767,32767,32767,32767
231124172749,57,92,653,37,32767,32767,32767,32767
231124172800,57,92,658,37,32767,32767,32767,32767
231124172811,57,92,662,37,32767,32767,32767,32767
231124172823,57,92,652,37,32767,32767,32767,32767
231124172834,57,92,647,37,32767,32767,32767,32767
231124172845,57,92,654,37,32767,32767,32767,32767
231124172856,57,92,663,37,32767,32767,32767,32767
231124172908,57,92,659,37,32767,32767,32767,32767
231124172919,57,91,658,37,32767,32767,32767,32767
231124172930,57,91,660,37,32767,32767,32767,32767
231124172941,61,91,662,37,32767,32767,32767,32767
231124173111,89,108,655,37,32767,32767,32767,32767
231124173122,89,111,666,36,32767,32767,32767,32767
231124173133,89,113,649,36,32767,32767,32767,32767
231124173144,89,115,649,35,32767,32767,32767,32767
231124173156,87,116,637,35,32767,32767,32767,32767
231124173207,86,116,633,34,32767,32767,32767,32767
231124173218,85,116,633,34,32767,32767,32767,32767
231124173229,84,116,642,34,32767,32767,32767,32767
231124173240,83,116,641,34,32767,32767,32767,32767
231124173252,82,116,632,34,32767,32767,32767,32767
231124173303,82,116,635,34,32767,32767,32767,32767
231124173314,81,116,640,34,32767,32767,32767,32767
231124173325,80,116,631,34,32767,32767,32767,32767
231124173336,79,116,635,34,32767,32767,32767,32767
231124173348,78,116,640,34,32767,32767,32767,32767
231124173359,78,116,641,34,32767,32767,32767,32767
231124173410,77,116,647,35,32767,32767,32767,32767
231124173421,77,115,653,36,32767,32767,32767,32767
231124173433,76,115,662,36,32767,32767,32767,32767
231124173444,75,114,666,37,32767,32767,32767,32767
231124173614,69,108,661,37,32767,32767,32767,32767
231124173625,68,107,654,37,32767,32767,32767,32767
231124173636,68,106,664,37,32767,32767,32767,32767
231124173647,68,104,661,37,32767,32767,32767,32767
231124173658,67,103,657,37,32767,32767,32767,32767
231124173709,66,102,661,37,32767,32767,32767,32767
231124173721,65,101,661,37,32767,32767,32767,32767
231124173732,65,100,658,37,32767,32767,32767,32767
231124173743,64,100,658,37,32767,32767,32767,32767
231124173754,64,100,658,37,32767,32767,32767,32767
231124173805,64,100,658,37,32767,32767,32767,32767
231124173817,64,100,660,37,32767,32767,32767,32767
231124173828,64,100,658,37,32767,32767,32767,32767
231124173839,64,100,653,37,32767,32767,32767,32767
231124173850,64,100,663,37,32767,32767,32767,32767
231124173901,63,99,660,37,32767,32767,32767,32767
231124173913,62,98,660,37,32767,32767,32767,32767
231124173924,62,98,660,37,32767,32767,32767,32767
231124173935,61,97,657,37,32767,32767,32767,32767
231124173946,61,96,657,37,32767,32767,32767,32767
231124174105,58,95,658,37,32767,32767,32767,32767
231124174116,58,95,659,37,32767,32767,32767,32767
231124174128,58,95,654,37,32767,32767,32767,32767
231124174139,58,95,655,37,32767,32767,32767,32767
231124174150,58,95,653,37,32767,32767,32767,32767
231124174201,58,94,651,37,32767,32767,32767,32767
231124174212,58,93,657,37,32767,32767,32767,32767
231124174224,57,92,658,37,32767,32767,32767,32767
231124174235,57,92,657,37,32767,32767,32767,32767
231124174246,56,92,655,37,32767,32767,32767,32767
231124174257,56,92,658,37,32767,32767,32767,32767
231124174308,56,92,660,37,32767,32767,32767,32767
231124174320,56,92,656,37,32767,32767,32767,32767
231124174331,56,92,658,37,32767,32767,32767,32767
231124174342,56,92,660,37,32767,32767,32767,32767
231124174353,56,92,658,37,32767,32767,32767,32767
231124174404,56,91,658,37,32767,32767,32767,32767
231124174416,56,90,654,37,32767,32767,32767,32767
231124174427,55,90,648,36,32767,32767,32767,32767
231124174438,55,90,643,35,32767,32767,32767,32767
231124174608,56,90,627,34,32767,32767,32767,32767
231124174619,56,90,629,34,32767,32767,32767,32767
231124174630,56,90,630,34,32767,32767,32767,32767
231124174641,56,90,636,34,32767,32767,32767,32767
231124174653,56,90,629,34,32767,32767,32767,32767
231124174704,56,90,632,34,32767,32767,32767,32767
231124174715,56,91,642,35,32767,32767,32767,32767
231124174726,56,92,652,36,32767,32767,32767,32767
231124174737,56,92,658,36,32767,32767,32767,32767
231124174749,56,92,660,37,32767,32767,32767,32767
231124174800,56,92,658,37,32767,32767,32767,32767
231124174811,56,92,658,37,32767,32767,32767,32767
231124174822,60,92,661,37,32767,32767,32767,32767
231124174833,62,92,664,37,32767,32767,32767,32767
231124174845,64,92,662,37,32767,32767,32767,32767
231124174856,68,92,660,37,32767,32767,32767,32767
231124174907,71,93,660,37,32767,32767,32767,32767
231124174918,74,96,664,37,32767,32767,32767,32767
231124174929,79,99,662,37,32767,32767,32767,32767
231124174941,82,102,661,37,32767,32767,32767,32767
231124175110,83,115,660,37,32767,32767,32767,32767
231124175122,81,115,668,37,32767,32767,32767,32767
231124175133,80,115,655,37,32767,32767,32767,32767
231124175144,80,115,660,37,32767,32767,32767,32767
231124175155,79,115,658,37,32767,32767,32767,32767
231124175206,78,115,662,37,32767,32767,32767,32767
231124175218,78,115,658,37,32767,32767,32767,32767
231124175229,77,115,659,37,32767,32767,32767,32767
231124175240,77,114,667,37,32767,32767,32767,32767
231124175251,77,114,665,37,32767,32767,32767,32767
231124175302,76,113,664,37,32767,32767,32767,32767
231124175314,75,111,660,37,32767,32767,32767,32767
231124175325,74,110,658,37,32767,32767,32767,32767
231124175336,73,108,658,37,32767,32767,32767,32767
231124175347,73,107,665,37,32767,32767,32767,32767
231124175358,72,107,659,37,32767,32767,32767,32767
231124175410,71,107,663,37,32767,32767,32767,32767
231124175421,71,107,657,37,32767,32767,32767,32767
231124175432,71,107,664,37,32767,32767,32767,32767
231124175443,70,107,659,37,32767,32767,32767,32767
231124175613,67,102,660,37,32767,32767,32767,32767
231124175624,66,101,659,37,32767,32767,32767,32767
231124175635,65,101,662,37,32767,32767,32767,32767
231124175646,65,101,663,37,32767,32767,32767,32767
231124175658,65,101,658,37,32767,32767,32767,32767
231124175709,65,101,662,37,32767,32767,32767,32767
231124175720,65,101,659,37,32767,32767,32767,32767
231124175731,65,101,646,36,32767,32767,32767,32767
231124175743,65,101,641,35,32767,32767,32767,32767
231124175754,65,101,640,35,32767,32767,32767,32767
231124175805,65,101,628,34,32767,32767,32767,32767
231124175816,65,100,633,34,32767,32767,32767,32767
231124175827,65,100,633,34,32767,32767,32767,32767
231124175839,65,100,632,34,32767,32767,32767,32767
231124175850,65,99,637,34,32767,32767,32767,32767
